date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:46	11114/11114	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:58:08%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img4.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img4.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:48	7851/7851	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:58:20%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img5.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img5.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:50	8766/8766	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:58:30%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img6.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img6.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:57	136890/136890	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2019:27:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb3.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb3.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:58	158090/158090	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2019:26:08%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb2.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb2.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:00	178710/178710	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2019:25:46%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb1.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb1.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:02	8415/8415	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2000:34:24%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/jquery.slicknav.min.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/jquery.slicknav.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:03	1074/1074	---M--	200	added ('OK')	application/javascript	date:Fri,%2009%20Feb%202018%2023:36:24%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/counterup.min.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/counterup.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:04	85578/85578	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Dec%202017%2009:22:58%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/vendor/jquery-2.2.4.min.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/vendor/jquery-2.2.4.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:05	48944/48944	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jan%202018%2019:29:48%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/bootstrap.min.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/bootstrap.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
